RunID,TimesheetID,Page,Row,Col,FieldKey,RawText,NormalizedTime,Confidence,CropPath,Warnings,_source_file,IsValid
20251006_161346,clockin_synth,,1,,row1_clock_in_am,(07.30.,07:30,,data/clockin_synth/crops\clock_0000\time\row1_clock_in_am.png,,C:\Users\samue\OneDrive\Documents\timesheet-ocr-prototype\data\clockin_synth\ocr_time_results.jsonl,True
20251006_161346,clockin_synth,,1,,row1_clock_in_pm,(1/1.30.,11:30,,data/clockin_synth/crops\clock_0000\time\row1_clock_in_pm.png,,C:\Users\samue\OneDrive\Documents\timesheet-ocr-prototype\data\clockin_synth\ocr_time_results.jsonl,True
20251006_161346,clockin_synth,,1,,row1_clock_out_am,"(1,000",,,data/clockin_synth/crops\clock_0000\time\row1_clock_out_am.png,"unparsable('(1,000'); invalid_time",C:\Users\samue\OneDrive\Documents\timesheet-ocr-prototype\data\clockin_synth\ocr_time_results.jsonl,False
20251006_161346,clockin_synth,,1,,row1_clock_out_pm,(1.15,01:15,,data/clockin_synth/crops\clock_0000\time\row1_clock_out_pm.png,,C:\Users\samue\OneDrive\Documents\timesheet-ocr-prototype\data\clockin_synth\ocr_time_results.jsonl,True
20251006_161346,clockin_synth,,1,,row1_clock_in_am,"(1,000",,,data/clockin_synth/crops\clock_0001\time\row1_clock_in_am.png,"unparsable('(1,000'); invalid_time",C:\Users\samue\OneDrive\Documents\timesheet-ocr-prototype\data\clockin_synth\ocr_time_results.jsonl,False
20251006_161346,clockin_synth,,1,,row1_clock_in_pm,(14.15.,14:15,,data/clockin_synth/crops\clock_0001\time\row1_clock_in_pm.png,,C:\Users\samue\OneDrive\Documents\timesheet-ocr-prototype\data\clockin_synth\ocr_time_results.jsonl,True
20251006_161346,clockin_synth,,1,,row1_clock_out_am,(13.30.,13:30,,data/clockin_synth/crops\clock_0001\time\row1_clock_out_am.png,,C:\Users\samue\OneDrive\Documents\timesheet-ocr-prototype\data\clockin_synth\ocr_time_results.jsonl,True
20251006_161346,clockin_synth,,1,,row1_clock_out_pm,(2.1.01.,,,data/clockin_synth/crops\clock_0001\time\row1_clock_out_pm.png,unparsable('(2.1.01.'); invalid_time,C:\Users\samue\OneDrive\Documents\timesheet-ocr-prototype\data\clockin_synth\ocr_time_results.jsonl,False
20251006_161346,clockin_synth,,1,,row1_clock_in_am,",093.45",,,data/clockin_synth/crops\clock_0002\time\row1_clock_in_am.png,"unparsable(',093.45'); invalid_time",C:\Users\samue\OneDrive\Documents\timesheet-ocr-prototype\data\clockin_synth\ocr_time_results.jsonl,False
20251006_161346,clockin_synth,,1,,row1_clock_in_pm,(14.15.,14:15,,data/clockin_synth/crops\clock_0002\time\row1_clock_in_pm.png,,C:\Users\samue\OneDrive\Documents\timesheet-ocr-prototype\data\clockin_synth\ocr_time_results.jsonl,True
20251006_161346,clockin_synth,,1,,row1_clock_out_am,(13.45.,13:45,,data/clockin_synth/crops\clock_0002\time\row1_clock_out_am.png,,C:\Users\samue\OneDrive\Documents\timesheet-ocr-prototype\data\clockin_synth\ocr_time_results.jsonl,True
20251006_161346,clockin_synth,,1,,row1_clock_out_pm,1925.,19:25,,data/clockin_synth/crops\clock_0002\time\row1_clock_out_pm.png,,C:\Users\samue\OneDrive\Documents\timesheet-ocr-prototype\data\clockin_synth\ocr_time_results.jsonl,True
20251006_161346,clockin_synth,,1,,row1_clock_in_am,",08130",,,data/clockin_synth/crops\clock_0003\time\row1_clock_in_am.png,"unparsable(',08130'); invalid_time",C:\Users\samue\OneDrive\Documents\timesheet-ocr-prototype\data\clockin_synth\ocr_time_results.jsonl,False
20251006_161346,clockin_synth,,1,,row1_clock_in_pm,(13.30.,13:30,,data/clockin_synth/crops\clock_0003\time\row1_clock_in_pm.png,,C:\Users\samue\OneDrive\Documents\timesheet-ocr-prototype\data\clockin_synth\ocr_time_results.jsonl,True
20251006_161346,clockin_synth,,1,,row1_clock_out_am,(12.30.,12:30,,data/clockin_synth/crops\clock_0003\time\row1_clock_out_am.png,,C:\Users\samue\OneDrive\Documents\timesheet-ocr-prototype\data\clockin_synth\ocr_time_results.jsonl,True
20251006_161346,clockin_synth,,1,,row1_clock_out_pm,(17.51.,17:51,,data/clockin_synth/crops\clock_0003\time\row1_clock_out_pm.png,,C:\Users\samue\OneDrive\Documents\timesheet-ocr-prototype\data\clockin_synth\ocr_time_results.jsonl,True
20251006_161346,clockin_synth,,1,,row1_clock_in_am,",08130",,,data/clockin_synth/crops\clock_0004\time\row1_clock_in_am.png,"unparsable(',08130'); invalid_time",C:\Users\samue\OneDrive\Documents\timesheet-ocr-prototype\data\clockin_synth\ocr_time_results.jsonl,False
20251006_161346,clockin_synth,,1,,row1_clock_in_pm,"(12,000.",,,data/clockin_synth/crops\clock_0004\time\row1_clock_in_pm.png,"unparsable('(12,000.'); invalid_time",C:\Users\samue\OneDrive\Documents\timesheet-ocr-prototype\data\clockin_synth\ocr_time_results.jsonl,False
20251006_161346,clockin_synth,,1,,row1_clock_out_am,(1/1.30.,11:30,,data/clockin_synth/crops\clock_0004\time\row1_clock_out_am.png,,C:\Users\samue\OneDrive\Documents\timesheet-ocr-prototype\data\clockin_synth\ocr_time_results.jsonl,True
20251006_161346,clockin_synth,,1,,row1_clock_out_pm,16142(,16:42,,data/clockin_synth/crops\clock_0004\time\row1_clock_out_pm.png,,C:\Users\samue\OneDrive\Documents\timesheet-ocr-prototype\data\clockin_synth\ocr_time_results.jsonl,True
20251006_161346,clockin_synth,,1,,row1_clock_in_am,",10.15.",,,data/clockin_synth/crops\clock_0005\time\row1_clock_in_am.png,"unparsable(',10.15.'); invalid_time",C:\Users\samue\OneDrive\Documents\timesheet-ocr-prototype\data\clockin_synth\ocr_time_results.jsonl,False
